continent;region;subregion;country;M49 code;ISO-alpha3 code;population
Africa;Northern Africa;Northern Africa;Egypt;818;EGY;100388073
Europe;Northern Europe;Northern Europe;United Kingdom;826;GBR;66834405
Europe;Northern Europe;Channel Islands;Guernsey;831;GGY;#N/A
Europe;Northern Europe;Channel Islands;Jersey;832;JEY;#N/A
Europe;Northern Europe;Northern Europe;Isle of Man;833;IMN;84584
Africa;Sub-Saharan Africa;Eastern Africa;Tanzania;834;TZA;58005463
Americas;Northern America;Northern America;US;840;USA;328239523
Americas;Latin America and the Caribbean;Caribbean;United States Virgin Islands;850;VIR;106631
Africa;Sub-Saharan Africa;Western Africa;Burkina Faso;854;BFA;20321378
Americas;South America;South America;Uruguay;858;URY;3461734
Asia;Central Asia;Central Asia;Uzbekistan;860;UZB;33580650
Americas;South America;South America;Venezuela;862;VEN;28515829
Oceania;Polynesia;Polynesia;Wallis and Futuna Islands;876;WLF;#N/A
Oceania;Polynesia;Polynesia;Samoa;882;WSM;197097
Asia;Western Asia;Western Asia;Yemen;887;YEM;29161922
Africa;Sub-Saharan Africa;Eastern Africa;Zambia;894;ZMB;17861030
Asia;Eastern Asia;Eastern Asia;Taiwan*;158;CNG1925;23816775
Europe;Eastern Europe;Eastern Europe;Kosovo;;XKX;1794248
